2022-07-01 16:54:17,380 | INFO | Check successful
2022-07-01 16:54:17,467 | INFO | 4.897276E-11
2022-07-01 16:54:17,532 | INFO | -2.138484E-06
2022-07-01 16:54:17,579 | INFO | -2.308335E-06
2022-07-01 16:54:17,620 | INFO | -2.314294E-06
2022-07-01 16:54:17,680 | INFO | -2.226389E-06
2022-07-01 16:54:17,723 | INFO | -2.195101E-06
2022-07-01 16:54:17,787 | INFO | -2.332173E-06
2022-07-01 16:54:17,833 | INFO | -2.430508E-06
2022-07-01 16:54:17,882 | INFO | -2.183181E-06
2022-07-01 16:54:17,946 | INFO | -2.218939E-06
2022-07-01 16:54:17,985 | INFO | -2.002901E-06
2022-07-01 16:54:18,045 | INFO | -2.084847E-06
2022-07-01 16:54:18,087 | INFO | -2.153383E-06
2022-07-01 16:54:18,135 | INFO | -2.320254E-06
2022-07-01 16:54:18,196 | INFO | -2.317274E-06
2022-07-01 16:54:18,241 | INFO | -2.122095E-06
2022-07-01 16:54:18,303 | INFO | -2.437958E-06
2022-07-01 16:54:18,344 | INFO | -2.116135E-06
2022-07-01 16:54:18,386 | INFO | -2.069947E-06
2022-07-01 16:54:18,444 | INFO | -1.989268E-06
2022-07-01 16:54:18,486 | INFO | -2.127830E-06
2022-07-01 16:54:18,546 | INFO | -2.369197E-06
2022-07-01 16:54:18,586 | INFO | -2.275332E-06
2022-07-01 16:54:18,626 | INFO | -2.099522E-06
2022-07-01 16:54:18,684 | INFO | -2.203816E-06
2022-07-01 16:54:18,724 | INFO | -2.217226E-06
2022-07-01 16:54:18,781 | INFO | -2.017576E-06
2022-07-01 16:54:18,821 | INFO | -2.112931E-06
2022-07-01 16:54:18,860 | INFO | -2.270863E-06
2022-07-01 16:54:18,918 | INFO | -2.238084E-06
2022-07-01 16:54:18,959 | INFO | -2.293211E-06
2022-07-01 16:54:19,019 | INFO | -2.236594E-06
2022-07-01 16:54:19,058 | INFO | -2.099522E-06
2022-07-01 16:54:19,104 | INFO | -2.209776E-06
2022-07-01 16:54:19,163 | INFO | -2.033965E-06
2022-07-01 16:54:19,209 | INFO | -2.409425E-06
2022-07-01 16:54:19,290 | INFO | -1.937121E-06
2022-07-01 16:54:19,357 | INFO | -2.026516E-06
2022-07-01 16:54:19,398 | INFO | -2.184447E-06
2022-07-01 16:54:19,458 | INFO | -1.982339E-06
2022-07-01 16:54:19,503 | INFO | -2.161129E-06
2022-07-01 16:54:19,561 | INFO | -2.190927E-06
2022-07-01 16:54:19,603 | INFO | -2.131331E-06
2022-07-01 16:54:19,643 | INFO | -2.347369E-06
2022-07-01 16:54:19,707 | INFO | -2.259464E-06
2022-07-01 16:54:19,747 | INFO | -2.076204E-06
2022-07-01 16:54:19,809 | INFO | -2.122391E-06
2022-07-01 16:54:19,852 | INFO | -1.852716E-06
2022-07-01 16:54:19,898 | INFO | -2.152190E-06
2022-07-01 16:54:19,958 | INFO | -2.111962E-06
2022-07-01 16:54:20,000 | INFO | -2.149210E-06
2022-07-01 16:54:20,058 | INFO | -2.275853E-06
2022-07-01 16:54:20,098 | INFO | -2.097063E-06
2022-07-01 16:54:20,139 | INFO | -1.922742E-06
2022-07-01 16:54:20,197 | INFO | -1.913803E-06
2022-07-01 16:54:20,236 | INFO | -2.210296E-06
2022-07-01 16:54:20,295 | INFO | -1.954030E-06
2022-07-01 16:54:20,335 | INFO | -1.974889E-06
2022-07-01 16:54:20,378 | INFO | -1.991278E-06
2022-07-01 16:54:20,436 | INFO | -2.325169E-06
2022-07-01 16:54:20,477 | INFO | -2.210445E-06
2022-07-01 16:54:20,536 | INFO | -2.158298E-06
2022-07-01 16:54:20,580 | INFO | -2.061453E-06
2022-07-01 16:54:20,626 | INFO | -2.295370E-06
2022-07-01 16:54:20,684 | INFO | -2.164257E-06
2022-07-01 16:54:20,728 | INFO | -1.963118E-06
2022-07-01 16:54:20,788 | INFO | -2.402644E-06
2022-07-01 16:54:20,831 | INFO | -2.372846E-06
2022-07-01 16:54:20,877 | INFO | -2.076352E-06
2022-07-01 16:54:20,940 | INFO | -2.200015E-06
2022-07-01 16:54:20,984 | INFO | -2.281961E-06
2022-07-01 16:54:21,052 | INFO | -2.141909E-06
2022-07-01 16:54:21,100 | INFO | -2.226834E-06
2022-07-01 16:54:21,140 | INFO | -2.542697E-06
2022-07-01 16:54:21,199 | INFO | -2.204485E-06
2022-07-01 16:54:21,247 | INFO | -2.022715E-06
2022-07-01 16:54:21,307 | INFO | -2.138929E-06
2022-07-01 16:54:21,348 | INFO | -2.398175E-06
2022-07-01 16:54:21,388 | INFO | -2.116580E-06
2022-07-01 16:54:21,449 | INFO | -2.171409E-06
2022-07-01 16:54:21,490 | INFO | -1.833198E-06
2022-07-01 16:54:21,548 | INFO | -2.076054E-06
2022-07-01 16:54:21,591 | INFO | -2.388937E-06
2022-07-01 16:54:21,630 | INFO | -2.242925E-06
2022-07-01 16:54:21,689 | INFO | -2.137141E-06
2022-07-01 16:54:21,730 | INFO | -2.147570E-06
2022-07-01 16:54:21,790 | INFO | -1.958351E-06
2022-07-01 16:54:21,840 | INFO | -2.160980E-06
2022-07-01 16:54:21,886 | INFO | -2.065625E-06
2022-07-01 16:54:21,949 | INFO | -2.275703E-06
2022-07-01 16:54:21,990 | INFO | -2.248885E-06
2022-07-01 16:54:22,057 | INFO | -2.101383E-06
2022-07-01 16:54:22,096 | INFO | -2.080524E-06
2022-07-01 16:54:22,136 | INFO | -2.089463E-06
2022-07-01 16:54:22,195 | INFO | -2.195248E-06
2022-07-01 16:54:22,238 | INFO | -2.281663E-06
2022-07-01 16:54:22,301 | INFO | -2.216107E-06
2022-07-01 16:54:22,344 | INFO | -2.248885E-06
2022-07-01 16:54:22,403 | INFO | -2.207167E-06
2022-07-01 16:54:22,462 | INFO | -2.015191E-06
2022-07-01 16:54:22,504 | INFO | -2.183552E-06
2022-07-01 16:54:22,572 | INFO | -2.156733E-06
2022-07-01 16:54:22,615 | INFO | -2.097136E-06
2022-07-01 16:54:22,658 | INFO | -2.237189E-06
2022-07-01 16:54:22,717 | INFO | -2.475576E-06
2022-07-01 16:54:22,760 | INFO | -2.204411E-06
2022-07-01 16:54:22,822 | INFO | -1.979433E-06
2022-07-01 16:54:22,864 | INFO | -2.162693E-06
2022-07-01 16:54:22,916 | INFO | -2.074788E-06
2022-07-01 16:54:22,977 | INFO | -2.095647E-06
2022-07-01 16:54:23,018 | INFO | -2.193981E-06
2022-07-01 16:54:23,080 | INFO | -2.302745E-06
2022-07-01 16:54:23,122 | INFO | -2.305725E-06
2022-07-01 16:54:23,163 | INFO | -2.253578E-06
2022-07-01 16:54:23,220 | INFO | -2.252088E-06
2022-07-01 16:54:23,263 | INFO | -2.125445E-06
2022-07-01 16:54:23,324 | INFO | -2.217820E-06
2022-07-01 16:54:23,366 | INFO | -1.904937E-06
2022-07-01 16:54:23,411 | INFO | -2.235699E-06
2022-07-01 16:54:23,473 | INFO | -2.158447E-06
2022-07-01 16:54:23,513 | INFO | -2.088420E-06
2022-07-01 16:54:23,582 | INFO | -2.006475E-06
2022-07-01 16:54:23,625 | INFO | -1.957308E-06
2022-07-01 16:54:23,666 | INFO | -1.963267E-06
2022-07-01 16:54:23,733 | INFO | -2.229963E-06
2022-07-01 16:54:23,773 | INFO | -2.264231E-06
2022-07-01 16:54:23,835 | INFO | -2.243372E-06
2022-07-01 16:54:23,874 | INFO | -2.061602E-06
2022-07-01 16:54:23,919 | INFO | -2.244862E-06
2022-07-01 16:54:23,977 | INFO | -2.052662E-06
2022-07-01 16:54:24,020 | INFO | -2.273170E-06
2022-07-01 16:54:24,078 | INFO | -2.060112E-06
2022-07-01 16:54:24,124 | INFO | -2.237412E-06
2022-07-01 16:54:24,164 | INFO | -2.116729E-06
2022-07-01 16:54:24,224 | INFO | -1.967737E-06
2022-07-01 16:54:24,269 | INFO | -2.092890E-06
2022-07-01 16:54:24,327 | INFO | -2.361076E-06
2022-07-01 16:54:24,367 | INFO | -2.019884E-06
2022-07-01 16:54:24,408 | INFO | -1.793417E-06
2022-07-01 16:54:24,465 | INFO | -2.073745E-06
2022-07-01 16:54:24,505 | INFO | -2.058846E-06
2022-07-01 16:54:24,563 | INFO | -1.920284E-06
2022-07-01 16:54:24,606 | INFO | -2.037987E-06
2022-07-01 16:54:24,654 | INFO | -2.251046E-06
2022-07-01 16:54:24,712 | INFO | -1.728084E-06
2022-07-01 16:54:24,758 | INFO | -1.881546E-06
2022-07-01 16:54:24,821 | INFO | -1.976901E-06
2022-07-01 16:54:24,862 | INFO | -2.240616E-06
2022-07-01 16:54:24,906 | INFO | -1.878566E-06
2022-07-01 16:54:24,968 | INFO | -2.216777E-06
2022-07-01 16:54:25,011 | INFO | -2.243596E-06
2022-07-01 16:54:25,075 | INFO | -2.030538E-06
2022-07-01 16:54:25,119 | INFO | -2.127382E-06
2022-07-01 16:54:25,166 | INFO | -2.203368E-06
2022-07-01 16:54:25,226 | INFO | -2.312132E-06
2022-07-01 16:54:25,270 | INFO | -2.046927E-06
2022-07-01 16:54:25,329 | INFO | -2.172080E-06
2022-07-01 16:54:25,377 | INFO | -2.093114E-06
2022-07-01 16:54:25,429 | INFO | -2.015638E-06
2022-07-01 16:54:25,487 | INFO | -2.214915E-06
2022-07-01 16:54:25,538 | INFO | -2.180647E-06
2022-07-01 16:54:25,600 | INFO | -1.948219E-06
